                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74849,                0.70161,                 1.0682,                0.62295,                0.69093,                0.69668,                0.50028,                 1.0015,                 1.0695,                 1.2741,             0.00061203,             0.00061203,             0.00061203
                     36,                0.73531,                0.70766,                 1.0464,                0.66009,                0.68813,                0.68579,                0.49635,                 1.0158,                 1.0787,                 1.2854,             0.00060303,             0.00060303,             0.00060303
                     37,                 0.7236,                0.68632,                 1.0509,                0.64397,                0.68053,                0.69667,                0.50901,                 1.0006,                 1.0796,                 1.2854,             0.00059403,             0.00059403,             0.00059403
                     38,                0.70579,                0.68452,                 1.0374,                0.66671,                0.68596,                0.69332,                0.48439,                 1.0511,                 1.0679,                 1.2892,             0.00058503,             0.00058503,             0.00058503
                     39,                0.71651,                0.68681,                 1.0428,                 0.6512,                0.67056,                0.68137,                0.48579,                 1.0048,                 1.1181,                 1.2659,             0.00057603,             0.00057603,             0.00057603
                     40,                 0.6916,                0.64246,                 1.0269,                0.68006,                0.67579,                0.71022,                0.51059,                 1.0044,                 1.0563,                 1.2671,             0.00056703,             0.00056703,             0.00056703
                     41,                 0.6831,                0.64947,                 1.0322,                0.67517,                0.65004,                0.69268,                 0.5101,                0.96615,                 1.0876,                 1.2627,             0.00055804,             0.00055804,             0.00055804
                     42,                0.68558,                0.64113,                 1.0238,                0.67427,                0.65919,                0.70125,                0.50782,                 1.0014,                  1.073,                 1.2992,             0.00054904,             0.00054904,             0.00054904
                     43,                0.66554,                0.63063,                 1.0188,                0.69815,                 0.6471,                 0.6914,                0.49687,                 1.0116,                 1.0868,                 1.2805,             0.00054004,             0.00054004,             0.00054004
                     44,                0.66517,                0.60832,                 1.0145,                0.66923,                0.69338,                0.70432,                0.50323,                 1.0053,                 1.0767,                 1.2749,             0.00053104,             0.00053104,             0.00053104
                     45,                0.67391,                0.62585,                 1.0179,                 0.6885,                0.66083,                0.69195,                0.50613,                  1.006,                 1.0541,                 1.2868,             0.00052204,             0.00052204,             0.00052204
                     46,                0.64252,                0.58408,                0.99809,                0.68376,                0.66918,                0.69984,                0.50948,                0.97623,                 1.0795,                 1.2796,             0.00051304,             0.00051304,             0.00051304
                     47,                0.65401,                0.60632,                 1.0045,                 0.6681,                0.66319,                0.68699,                0.50351,                 0.9782,                 1.0938,                 1.2599,             0.00050404,             0.00050404,             0.00050404
                     48,                0.64222,                0.58139,                 1.0021,                0.67101,                0.64363,                0.68219,                0.49765,                 1.0043,                 1.1538,                 1.2893,             0.00049504,             0.00049504,             0.00049504
                     49,                0.64744,                0.57267,                0.99626,                0.68278,                0.64029,                0.69331,                0.50271,                0.99562,                 1.1459,                 1.2829,             0.00048604,             0.00048604,             0.00048604
                     50,                0.63245,                0.55581,                0.98947,                 0.6725,                0.66655,                0.70849,                0.52156,                0.97595,                 1.0538,                  1.264,             0.00047704,             0.00047704,             0.00047704
                     51,                0.61631,                0.53388,                0.97609,                0.65319,                 0.6613,                0.68655,                0.50385,                0.98524,                  1.105,                  1.269,             0.00046804,             0.00046804,             0.00046804
                     52,                0.62748,                0.54915,                 0.9863,                0.66282,                0.69139,                0.68638,                0.50276,                0.99766,                 1.1014,                 1.2933,             0.00045904,             0.00045904,             0.00045904
                     53,                 0.6026,                 0.5099,                0.97367,                0.66985,                0.66316,                0.68742,                0.50805,                0.97224,                 1.1164,                 1.2676,             0.00045005,             0.00045005,             0.00045005
                     54,                0.60489,                0.51852,                0.97619,                0.69937,                0.63632,                0.68714,                0.50338,                0.99605,                 1.1582,                 1.3003,             0.00044105,             0.00044105,             0.00044105
                     55,                 0.5891,                0.49918,                0.97261,                0.66698,                0.69938,                0.70225,                0.51717,                0.96837,                 1.0803,                  1.276,             0.00043205,             0.00043205,             0.00043205
