                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72365,                0.72168,                 1.0587,                0.63962,                 0.6827,                0.70367,                0.52073,                 1.0022,                 1.0931,                   1.28,             0.00061203,             0.00061203,             0.00061203
                     36,                0.71538,                0.67719,                 1.0579,                0.60446,                0.71672,                0.70196,                0.51584,                0.97251,                 1.0957,                 1.2498,             0.00060303,             0.00060303,             0.00060303
                     37,                0.69947,                0.67401,                 1.0271,                0.65564,                0.63585,                0.68854,                 0.4951,                 1.0179,                 1.0814,                 1.2877,             0.00059403,             0.00059403,             0.00059403
                     38,                0.71282,                0.67292,                 1.0443,                0.64825,                 0.6833,                0.69518,                0.50557,                0.98263,                  1.054,                 1.2587,             0.00058503,             0.00058503,             0.00058503
                     39,                 0.6942,                0.66804,                 1.0289,                0.68239,                0.66185,                0.69902,                 0.5166,                0.94021,                 1.0259,                 1.2294,             0.00057603,             0.00057603,             0.00057603
                     40,                0.69027,                0.64416,                 1.0191,                0.67218,                0.67941,                0.70797,                 0.5202,                 0.9895,                 1.0658,                 1.2606,             0.00056703,             0.00056703,             0.00056703
                     41,                0.67191,                0.64382,                  1.021,                0.62591,                0.69233,                0.68726,                0.50602,                 0.9575,                 1.0798,                 1.2573,             0.00055804,             0.00055804,             0.00055804
                     42,                0.66386,                0.61754,                 1.0189,                0.68705,                0.67157,                0.70307,                0.51668,                0.96131,                 1.0541,                 1.2433,             0.00054904,             0.00054904,             0.00054904
                     43,                0.66642,                0.62826,                 1.0199,                0.66282,                0.67686,                0.70677,                0.52155,                0.98021,                 1.0543,                 1.2556,             0.00054004,             0.00054004,             0.00054004
                     44,                0.66935,                0.62178,                 1.0118,                0.64956,                0.66465,                0.69095,                0.50403,                 1.0059,                 1.0997,                 1.2869,             0.00053104,             0.00053104,             0.00053104
                     45,                0.65088,                0.60462,                 1.0054,                0.67511,                0.66231,                0.69259,                0.50079,                 1.0145,                 1.1082,                 1.3056,             0.00052204,             0.00052204,             0.00052204
                     46,                0.63453,                0.57338,                 0.9979,                0.65772,                0.69755,                0.71849,                0.53405,                0.96723,                 1.0774,                 1.2611,             0.00051304,             0.00051304,             0.00051304
                     47,                0.62377,                0.57651,                0.99324,                0.67845,                0.67751,                0.71206,                0.52003,                  1.006,                 1.0446,                  1.276,             0.00050404,             0.00050404,             0.00050404
                     48,                 0.6258,                0.55561,                0.98832,                0.66689,                0.68514,                0.70682,                 0.5274,                0.97364,                 1.0716,                 1.2601,             0.00049504,             0.00049504,             0.00049504
                     49,                0.63189,                0.57205,                0.99783,                0.63587,                0.70374,                0.70439,                0.52146,                 0.9784,                 1.1052,                 1.2797,             0.00048604,             0.00048604,             0.00048604
                     50,                0.61426,                 0.5269,                0.98087,                0.63347,                0.68591,                0.69791,                0.51899,                0.96532,                 1.1437,                 1.2522,             0.00047704,             0.00047704,             0.00047704
                     51,                0.61639,                0.54794,                0.98426,                0.64633,                0.68847,                 0.6921,                0.51127,                0.94953,                 1.0735,                 1.2553,             0.00046804,             0.00046804,             0.00046804
                     52,                0.60691,                0.52085,                0.97769,                0.70729,                0.65273,                0.71378,                0.52353,                0.98629,                 1.0958,                 1.2779,             0.00045904,             0.00045904,             0.00045904
                     53,                0.58949,                0.51209,                0.97866,                0.67982,                 0.6939,                0.71226,                0.52525,                0.96734,                 1.0653,                  1.266,             0.00045005,             0.00045005,             0.00045005
                     54,                0.60187,                0.52824,                 0.9861,                0.68455,                0.67765,                0.69162,                0.50485,                0.98909,                 1.0951,                 1.2768,             0.00044105,             0.00044105,             0.00044105
                     55,                0.58873,                0.50949,                0.96976,                 0.6713,                0.68436,                0.70641,                0.52711,                0.96866,                 1.0819,                 1.2556,             0.00043205,             0.00043205,             0.00043205
                     56,                0.57656,                0.50001,                0.97221,                 0.6825,                0.67562,                 0.7077,                0.52332,                0.96374,                 1.1005,                  1.269,             0.00042305,             0.00042305,             0.00042305
                     57,                0.58411,                0.49236,                0.97783,                0.65357,                0.68474,                0.67952,                0.50359,                0.97885,                 1.1254,                  1.276,             0.00041405,             0.00041405,             0.00041405
                     58,                0.56966,                 0.4858,                0.96398,                0.65673,                0.68927,                0.69718,                 0.5192,                0.97921,                 1.0962,                 1.2802,             0.00040505,             0.00040505,             0.00040505
                     59,                0.57646,                0.47788,                0.96374,                0.68973,                0.66221,                0.71588,                0.53473,                0.96195,                 1.0658,                  1.271,             0.00039605,             0.00039605,             0.00039605
                     60,                0.56128,                0.47662,                0.96027,                0.67175,                 0.6985,                0.71881,                0.53191,                0.98882,                 1.0836,                 1.2951,             0.00038705,             0.00038705,             0.00038705
                     61,                0.55504,                 0.4676,                0.95472,                0.67427,                0.68782,                0.69261,                0.51343,                0.97538,                 1.0882,                 1.2797,             0.00037805,             0.00037805,             0.00037805
                     62,                0.55256,                0.46172,                   0.95,                0.70651,                0.63876,                0.69762,                0.52054,                0.96681,                 1.0978,                 1.2992,             0.00036905,             0.00036905,             0.00036905
                     63,                0.54306,                0.43273,                0.94414,                 0.6428,                0.66122,                0.67996,                0.50722,                0.96267,                 1.1542,                 1.2697,             0.00036005,             0.00036005,             0.00036005
