                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72433,                0.65655,                 1.0046,                0.62462,                 0.6909,                 0.6719,                0.49699,                0.95537,                 1.1152,                 1.1631,             0.00061203,             0.00061203,             0.00061203
                     36,                0.72799,                0.65366,                 1.0077,                0.64112,                0.65466,                0.68336,                 0.5069,                 0.9339,                 1.1095,                 1.1345,             0.00060303,             0.00060303,             0.00060303
                     37,                0.71925,                0.64342,                0.99909,                0.62891,                0.71246,                0.71543,                 0.5327,                0.95691,                 1.0431,                 1.1735,             0.00059403,             0.00059403,             0.00059403
                     38,                0.70428,                0.64854,                0.99743,                0.66707,                0.68161,                 0.7134,                0.53333,                0.95144,                 1.0515,                 1.1613,             0.00058503,             0.00058503,             0.00058503
                     39,                    0.7,                0.64266,                 0.9908,                0.66445,                0.68062,                0.70325,                0.51605,                 0.9794,                  1.052,                 1.1691,             0.00057603,             0.00057603,             0.00057603
                     40,                 0.6941,                0.62492,                0.99117,                0.64463,                 0.6456,                0.66489,                0.49667,                0.96161,                 1.1195,                 1.1418,             0.00056703,             0.00056703,             0.00056703
                     41,                0.68256,                0.60927,                0.98612,                0.64161,                0.67093,                0.68877,                0.51494,                0.95625,                 1.1186,                 1.1605,             0.00055804,             0.00055804,             0.00055804
                     42,                0.67646,                0.58617,                 0.9774,                0.68054,                0.67747,                0.72003,                0.54004,                0.95556,                 1.0112,                 1.1675,             0.00054904,             0.00054904,             0.00054904
                     43,                0.68097,                0.58773,                0.98375,                0.66915,                0.71503,                0.70891,                0.52774,                0.97803,                 1.0369,                 1.1704,             0.00054004,             0.00054004,             0.00054004
                     44,                0.67551,                0.57684,                0.98047,                0.66992,                0.66448,                0.68623,                0.50984,                0.95533,                 1.0718,                 1.1616,             0.00053104,             0.00053104,             0.00053104
                     45,                0.67299,                0.57989,                0.97332,                0.69418,                0.64421,                0.69151,                0.51502,                0.97962,                 1.0912,                 1.1729,             0.00052204,             0.00052204,             0.00052204
                     46,                0.65744,                0.55282,                0.97145,                0.62234,                0.68505,                 0.6941,                0.52176,                0.95654,                 1.0833,                 1.1552,             0.00051304,             0.00051304,             0.00051304
                     47,                0.64804,                0.55955,                0.96428,                0.66305,                0.68772,                0.69365,                0.51946,                0.94385,                 1.0741,                 1.1713,             0.00050404,             0.00050404,             0.00050404
