                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77362,                0.83872,                  1.304,                0.67352,                0.68088,                0.70369,                0.50857,                 1.0073,                 1.1191,                 1.6492,             0.00061203,             0.00061203,             0.00061203
                     36,                0.76233,                0.83247,                 1.3017,                0.69945,                0.66356,                0.71134,                0.51448,                 0.9859,                 1.1286,                 1.6389,             0.00060303,             0.00060303,             0.00060303
                     37,                0.73912,                0.80707,                 1.2841,                0.66875,                0.68074,                0.69399,                0.49589,                 1.0284,                 1.1201,                 1.7029,             0.00059403,             0.00059403,             0.00059403
                     38,                0.73486,                  0.774,                 1.2717,                0.66466,                0.68179,                0.69574,                 0.5008,                 1.0163,                 1.1537,                 1.6949,             0.00058503,             0.00058503,             0.00058503
                     39,                 0.7285,                0.79105,                 1.2726,                0.71026,                0.65382,                0.69437,                0.50826,                 1.0039,                 1.1399,                 1.6611,             0.00057603,             0.00057603,             0.00057603
                     40,                0.71957,                0.77011,                 1.2539,                0.68222,                0.67294,                0.72135,                0.51966,                 1.0356,                 1.1034,                 1.7252,             0.00056703,             0.00056703,             0.00056703
                     41,                0.70978,                0.71844,                 1.2426,                0.66689,                0.70497,                0.71854,                 0.5385,                0.97278,                 1.1267,                 1.6442,             0.00055804,             0.00055804,             0.00055804
                     42,                0.71069,                0.76156,                  1.242,                0.69264,                0.66926,                0.71259,                0.52152,                 1.0191,                 1.1499,                 1.6917,             0.00054904,             0.00054904,             0.00054904
                     43,                0.67967,                0.71824,                 1.2373,                 0.6784,                0.67491,                0.69871,                0.50924,                 1.0076,                   1.18,                 1.6927,             0.00054004,             0.00054004,             0.00054004
                     44,                0.68684,                0.72196,                 1.2255,                0.69246,                 0.6673,                 0.7142,                0.52516,                 1.0151,                 1.1453,                 1.6901,             0.00053104,             0.00053104,             0.00053104
                     45,                0.71118,                0.73764,                 1.2423,                0.65345,                0.68672,                0.70142,                0.50553,                 1.0003,                 1.1586,                 1.6927,             0.00052204,             0.00052204,             0.00052204
                     46,                0.67856,                0.70302,                 1.2104,                0.65894,                0.68139,                0.70085,                0.51398,                0.98937,                 1.1307,                 1.6734,             0.00051304,             0.00051304,             0.00051304
                     47,                0.67878,                0.69571,                  1.223,                0.69323,                0.67403,                0.70225,                0.51772,                 1.0051,                 1.1516,                 1.6908,             0.00050404,             0.00050404,             0.00050404
                     48,                0.67758,                0.68239,                 1.2098,                0.67094,                0.67368,                0.70864,                0.52035,                 1.0099,                 1.1487,                 1.6933,             0.00049504,             0.00049504,             0.00049504
                     49,                0.65844,                0.64556,                 1.2045,                0.65467,                0.68482,                0.68957,                0.50434,                 1.0084,                 1.1931,                 1.7038,             0.00048604,             0.00048604,             0.00048604
                     50,                0.66894,                0.64852,                 1.1905,                0.68015,                0.67804,                0.68459,                0.51273,                0.96192,                 1.1787,                 1.6603,             0.00047704,             0.00047704,             0.00047704
                     51,                0.62563,                0.61766,                 1.1635,                0.67852,                0.65314,                 0.6938,                0.51684,                 1.0044,                 1.1421,                 1.7196,             0.00046804,             0.00046804,             0.00046804
                     52,                0.63809,                0.64141,                  1.178,                0.68524,                0.65941,                0.68779,                0.49487,                 1.0179,                 1.1758,                 1.7483,             0.00045904,             0.00045904,             0.00045904
                     53,                 0.6345,                0.60092,                 1.1738,                0.68518,                0.67882,                0.67036,                0.48718,                 1.0341,                 1.2177,                 1.7341,             0.00045005,             0.00045005,             0.00045005
